Time,Value
"Dec, 2000",$451.15
"Jan, 2001",$438.32
"Feb, 2001",$430.78
"Mar, 2001",$431.63
"Apr, 2001",$425.62
"May, 2001",$443.13
"Jun, 2001",$438.19
"Jul, 2001",$435.81
"Aug, 2001",$443.72
"Sep, 2001",$459.42
"Oct, 2001",$460.54
"Nov, 2001",$450.14
"Jan, 2002",$459.42
"Feb, 2002",$480.48
"Mar, 2002",$475.50
"Apr, 2002",$486.71
"May, 2002",$505.84
"Jun, 2002",$516.14
"Jul, 2002",$502.83
"Aug, 2002",$496.40
"Sep, 2002",$509.67
"Oct, 2002",$504.91
"Nov, 2002",$508.92
"Dec, 2002",$530.41
"Jan, 2003",$567.76
"Mar, 2003",$534.66
"Apr, 2003",$516.23
"May, 2003",$560.55
"Jun, 2003",$560.89
"Jul, 2003",$551.76
